"id","ID Externe","Area_id /ID Externe","department_code","insee_code","zip_code","name","gps_lat","gps_lng","country_id"
35764,"__cities_.fr.00000-00000-35764","__areas__.fr.984-105",984,,,"Îles Saint-Paul et Nouvelle-Amsterdam","-37.8344793","77.554616105458","base.fr"
35765,"__cities_.fr.00000-00000-35765","__areas__.fr.984-105",984,,,"Archipel des Kerguelen","-49.23744195","69.622759036793","base.fr"
35766,"__cities_.fr.00000-00000-35766","__areas__.fr.984-105",984,,,"Archipel des Crozet","-46.4088091","51.0334374","base.fr"
35767,"__cities_.fr.00000-00000-35767","__areas__.fr.984-105",984,,,"La Terre-Adélie","-69.1726389","138.960274","base.fr"
35768,"__cities_.fr.00000-00000-35768","__areas__.fr.984-105",984,,,"Îles Éparses de l'océan Indien","-21.49095335","39.688103701215","base.fr"
35769,"__cities_.fr.00000-00000-35769","__areas__.fr.986-106",986,,,"Alo","9.52028","42.11","base.fr"
35770,"__cities_.fr.00000-00000-35770","__areas__.fr.986-106",986,,,"Wallis et Futuna","-13.8173324","-177.1489649","base.fr"
35771,"__cities_.fr.00000-00000-35771","__areas__.fr.986-106",986,,,"Uvea","-13.2544939","-176.2578265","base.fr"
35773,"__cities_.fr.00000-00000-35773","__areas__.fr.987-107",987,,,"Arue","-17.5310837","-149.517568","base.fr"
35774,"__cities_.fr.00000-00000-35774","__areas__.fr.987-107",987,,,"Arutua","-15.52521455","-146.52681098338","base.fr"
35776,"__cities_.fr.00000-00000-35776","__areas__.fr.987-107",987,,,"Faaa","-17.582274","-149.56780299593","base.fr"
35777,"__cities_.fr.00000-00000-35777","__areas__.fr.987-107",987,,,"Fakarava","-16.2926551","-145.60776814117","base.fr"
35778,"__cities_.fr.00000-00000-35778","__areas__.fr.987-107",987,,,"Fangatau","-15.8209958","-140.86638969106","base.fr"
35779,"__cities_.fr.00000-00000-35779","__areas__.fr.987-107",987,,,"Fatu-Hiva","-10.4862581","-138.64575737633","base.fr"
35780,"__cities_.fr.00000-00000-35780","__areas__.fr.987-107",987,,,"Gambier","-23.1571641","-134.9540922","base.fr"
35781,"__cities_.fr.00000-00000-35781","__areas__.fr.987-107",987,,,"Hao","-18.2523103","-140.88980557791","base.fr"
35782,"__cities_.fr.00000-00000-35782","__areas__.fr.987-107",987,,,"Hikueru","-17.6069335","-142.60718271294","base.fr"
35783,"__cities_.fr.00000-00000-35783","__areas__.fr.987-107",987,,,"Hitiaa O Te Ra","-17.59146725","-149.38326867247","base.fr"
35784,"__cities_.fr.00000-00000-35784","__areas__.fr.987-107",987,,,"Hiva-Oa","-9.77936775","-139.0064592035","base.fr"
35787,"__cities_.fr.00000-00000-35787","__areas__.fr.987-107",987,,,"Makemo","-16.58841295","-143.63502715735","base.fr"
35788,"__cities_.fr.00000-00000-35788","__areas__.fr.987-107",987,,,"Manihi","-14.39678675","-145.89067809459","base.fr"
35791,"__cities_.fr.00000-00000-35791","__areas__.fr.987-107",987,,,"Napuka","-14.1696989","-141.16520954472","base.fr"
35792,"__cities_.fr.00000-00000-35792","__areas__.fr.987-107",987,,,"Nuku-Hiva","-8.8734097","-140.12448282026","base.fr"
35793,"__cities_.fr.00000-00000-35793","__areas__.fr.987-107",987,,,"Nukutavake","-19.2769352","-138.82504247591","base.fr"
35794,"__cities_.fr.00000-00000-35794","__areas__.fr.987-107",987,,,"Paea","-17.6988547","-149.5545374153","base.fr"
35795,"__cities_.fr.00000-00000-35795","__areas__.fr.987-107",987,,,"Papara","-17.7611449","-149.504235","base.fr"
35796,"__cities_.fr.00000-00000-35796","__areas__.fr.987-107",987,,,"Papeete","-17.5384014","-149.5661868","base.fr"
35797,"__cities_.fr.00000-00000-35797","__areas__.fr.987-107",987,,,"Pirae","-17.5376926","-149.5420812","base.fr"
35798,"__cities_.fr.00000-00000-35798","__areas__.fr.987-107",987,,,"Pukapuka","-14.8187829","-138.82199727445","base.fr"
35799,"__cities_.fr.00000-00000-35799","__areas__.fr.987-107",987,,,"Punaauia","-17.5929204","-149.6063669","base.fr"
35800,"__cities_.fr.00000-00000-35800","__areas__.fr.987-107",987,,,"Raivavae","-23.86869275","-147.64365348773","base.fr"
35801,"__cities_.fr.00000-00000-35801","__areas__.fr.987-107",987,,,"Rangiroa","-15.1224461","-147.54620895959","base.fr"
35802,"__cities_.fr.00000-00000-35802","__areas__.fr.987-107",987,,,"Rapa","-27.6099638","-144.34135412681","base.fr"
35803,"__cities_.fr.00000-00000-35803","__areas__.fr.987-107",987,,,"Reao","-18.5223364","-136.37793166149","base.fr"
35804,"__cities_.fr.00000-00000-35804","__areas__.fr.987-107",987,,,"Rimatara","-22.6504839","-152.80661071313","base.fr"
35806,"__cities_.fr.00000-00000-35806","__areas__.fr.987-107",987,,,"Tahaa","-16.63084745","-151.50391865273","base.fr"
35807,"__cities_.fr.00000-00000-35807","__areas__.fr.987-107",987,,,"Tahuata","-9.95733445","-139.09987128841","base.fr"
