"ID Externe","id","code_num","name","code","country_fr"
"__export__.res_state_fr19",1,1,"Guadeloupe","FR-GP","base.fr"
"__export__.res_state_fr16",2,2,"Martinique","FR-MQ","base.fr"
"__export__.res_state_fr15",3,3,"Guyane","FR-GF","base.fr"
"__export__.res_state_fr17",4,4,"La Réunion","FR-RE","base.fr"
"__export__.res_state_fr18",5,6,"Mayotte","FR-YT","base.fr"
"__export__.res_state_fr08",6,11,"Île-de-France","FR-IDF","base.fr"
"__export__.res_state_fr04",7,24,"Centre-Val de Loire","FR-CVL","base.fr"
"__export__.res_state_fr02",8,27,"Bourgogne-Franche-Comté","FR-BFC","base.fr"
"__export__.res_state_fr09",9,28,"Normandie","FR-NOR","base.fr"
"__export__.res_state_fr07",10,32,"Hauts-de-France","FR-HDF","base.fr"
"__export__.res_state_fr06",11,44,"Grand Est","FR-GES","base.fr"
"__export__.res_state_fr12",12,52,"Pays de la Loire","FR-PDL","base.fr"
"__export__.res_state_fr03",13,53,"Bretagne","FR-BRE","base.fr"
"__export__.res_state_fr10",14,75,"Nouvelle-Aquitaine","FR-NAQ","base.fr"
"__export__.res_state_fr11",15,76,"Occitanie","FR-OCC","base.fr"
"__export__.res_state_fr01",16,84,"Auvergne-Rhône-Alpes","FR-ARA","base.fr"
"__export__.res_state_fr13",17,93,"Provence-Alpes-Côte d'Azur","FR-PAC","base.fr"
"__export__.res_state_fr05",18,94,"Corse","FR-COR","base.fr"
"__export__.res_state_fr14",19,"COM","Collectivités d'Outre-Mer","FR-COM","base.fr"
